"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (includes equivalency)","Population 25 Years and Over: Some college or More","Population 25 Years and Over: Bachelor's degree or More","Population 25 Years and Over: Master's degree or More","Population 25 Years and Over: Professional school degree or More","Population 25 Years and Over: Doctorate degree","Median household income (In 2006 Inflation Adjusted Dollars)"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14006_001
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599030,3237958,1209321,20592,45882,3244,34990,47043,3022878,600750,2422128,1435906,636816,233694,70194,27446,38783
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670053,460170,21476,88026,30151,3753,11968,54509,415630,42738,372892,253641,111601,39343,11107,4005,59393
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6166318,4741310,207837,277732,144858,10960,633350,150271,3953375,641803,3311572,2255419,1006689,363507,106336,38153,47265
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810872,2208224,437680,22787,28168,2045,68264,43704,1847325,360049,1487276,815776,336623,115390,38963,15229,36599
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36457549,21810156,2260648,265963,4483252,129483,6296602,1211445,23133174,4605354,18527820,13158858,6706298,2394870,804521,307945,56645
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4753377,3934971,177902,41161,133079,3745,337442,125077,3118500,372810,2745690,1980086,1071180,385444,104775,40087,52015
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3504809,2800344,332711,7319,117054,1005,183188,63188,2367511,283402,2084109,1379347,797411,341210,95204,32387,63422
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853476,615638,176845,2581,24413,154,21555,12290,566312,81946,484366,292291,152828,59707,15826,7166,52833
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581530,200395,322105,1903,19827,203,28127,8970,395630,62168,333462,251724,181589,100644,39075,14654,51847
